epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,250.902,0.9994,6.7547,0.01419,0.0036,0.9027,0.1379,0.09965,0.7643,11.7725,0.01535,0.00046412,0.00046412,0.00046412
2,460.954,1.00318,6.06473,0.01521,0.54089,0.11817,0.21641,0.12902,0.9932,10.7952,0.01941,0.000921832,0.000921832,0.000921832
3,671.09,1.14065,5.09771,0.01779,0.29987,0.37203,0.26025,0.14709,1.26614,9.15247,0.0274,0.00136068,0.00136068,0.00136068
4,880.1,1.22528,4.51564,0.01953,0.31179,0.28364,0.29689,0.16944,1.39882,7.55246,0.02993,0.00134412,0.00134412,0.00134412
5,1087.62,1.29107,3.90603,0.02044,0.4733,0.44117,0.39157,0.22613,1.41414,6.18732,0.03258,0.00131582,0.00131582,0.00131582
6,1296.05,1.29288,3.35066,0.02051,0.50627,0.36788,0.37309,0.1847,1.51734,5.01246,0.0332,0.00128753,0.00128753,0.00128753
7,1503.59,1.24013,2.89747,0.01966,0.59471,0.33441,0.40153,0.24002,1.40417,4.31378,0.02916,0.00125923,0.00125923,0.00125923
8,1711.11,1.21025,2.52075,0.01874,0.39602,0.47252,0.40084,0.25741,1.3973,3.58218,0.03353,0.00123094,0.00123094,0.00123094
9,1930.55,1.25009,2.28108,0.02011,0.50026,0.6466,0.54546,0.3437,1.39159,2.93133,0.03091,0.00120265,0.00120265,0.00120265
10,2139.31,1.20008,2.01745,0.01885,0.4926,0.65467,0.56745,0.36066,1.44583,2.62408,0.03074,0.00117435,0.00117435,0.00117435
11,2348.41,1.15708,1.83914,0.01855,0.72958,0.53825,0.59812,0.40773,1.27586,2.24102,0.02632,0.00114606,0.00114606,0.00114606
12,2559.6,1.19746,1.8113,0.01811,0.54287,0.48032,0.51662,0.34207,1.28023,2.28547,0.02702,0.00111776,0.00111776,0.00111776
13,2767.15,1.14099,1.60982,0.01834,0.68308,0.57356,0.57951,0.36868,1.34042,1.99506,0.02862,0.00108947,0.00108947,0.00108947
14,2974.52,1.13101,1.49801,0.01694,0.67263,0.52488,0.57276,0.40311,1.25739,1.91757,0.0271,0.00106118,0.00106118,0.00106118
15,3185.61,1.12499,1.44552,0.01731,0.7411,0.55886,0.61086,0.42474,1.24093,1.69183,0.02724,0.00103288,0.00103288,0.00103288
16,3394.52,1.08948,1.33524,0.01567,0.54921,0.53858,0.54011,0.39572,1.20955,1.9448,0.02583,0.00100459,0.00100459,0.00100459
17,3603.9,1.07171,1.27769,0.01664,0.73834,0.5768,0.61757,0.42149,1.24564,1.69678,0.02743,0.000976293,0.000976293,0.000976293
18,3812.74,1.02944,1.21268,0.01578,0.70176,0.5623,0.61796,0.42998,1.26257,1.53031,0.02686,0.000947999,0.000947999,0.000947999
19,4021.07,1.01637,1.12604,0.01563,0.64864,0.48884,0.55833,0.39743,1.36753,1.78241,0.02989,0.000919704,0.000919704,0.000919704
20,4232.75,1.01269,1.14218,0.01497,0.54983,0.62114,0.58474,0.42232,1.15161,1.7931,0.02367,0.00089141,0.00089141,0.00089141
21,4441.04,1.01478,1.11834,0.01569,0.45398,0.622,0.51734,0.38237,1.19713,1.7113,0.02478,0.000863116,0.000863116,0.000863116
22,4648.59,0.96715,1.01226,0.01432,0.63497,0.5661,0.61706,0.45065,1.1819,1.65629,0.02425,0.000834822,0.000834822,0.000834822
23,4858.17,0.99123,1.00606,0.01545,0.58842,0.5742,0.59779,0.41119,1.28913,1.64006,0.02808,0.000806528,0.000806528,0.000806528
24,5067.97,0.94992,0.95665,0.01394,0.66226,0.59046,0.60025,0.42529,1.1749,1.60363,0.02338,0.000778233,0.000778233,0.000778233
25,5276.03,0.96716,0.93621,0.01461,0.57244,0.60221,0.59198,0.41625,1.19519,1.41475,0.02397,0.000749939,0.000749939,0.000749939
26,5488.06,0.91847,0.91701,0.01365,0.62482,0.64565,0.63475,0.45671,1.18867,1.41617,0.02404,0.000721645,0.000721645,0.000721645
27,5696.62,0.89308,0.85135,0.01362,0.57821,0.65882,0.6171,0.4344,1.19319,1.57994,0.0259,0.000693351,0.000693351,0.000693351
28,5905.3,0.88687,0.87054,0.01277,0.66255,0.55142,0.62068,0.43058,1.10207,1.65916,0.02273,0.000665057,0.000665057,0.000665057
29,6115.71,0.89471,0.86286,0.01328,0.63907,0.70924,0.66006,0.47353,1.13023,1.35723,0.02244,0.000636762,0.000636762,0.000636762
30,6324.35,0.88065,0.81033,0.0143,0.68387,0.59329,0.65545,0.45267,1.11501,1.49007,0.02282,0.000608468,0.000608468,0.000608468
